사업장명,소재지전체주소,도로명전체주소,도로명우편번호,자연환경,숙소환경,테마,지역코드,좌표정보(x),좌표정보(y),COL1,COL2,COL3
모모카라반,인천광역시 옹진군 영흥면 내리 1542-10,인천광역시 옹진군 영흥면 영흥로757번길 176,23117,바다,이지캠핑,키즈,2,150998.8825,418467.2117,,,
올레야영장,경상북도 포항시 북구 청하면 월포리 88,경상북도 포항시 북구 청하면 해안로2428번길 14,37517,호수,카라반,반려동물,16,413170.5152,303389.1559,,,
거창서핑파크,경상남도 거창군 위천면 장기리 140,경상남도 거창군 위천면 거차1길 23-18,50103,강,글램핑,연인,17,275598.573,250065.2451,,,
강나루야영장,경기도 파주시 적성면 어유지리 667-2,경기도 파주시 적성면 어삼로 243,10804,바다,이지캠핑,키즈,3,197392.3154,500151.1379,,,
가평무릉도원캠핑장,경기도 가평군 상면 임초리 600,경기도 가평군 상면 임초밤안골로 207,12447,호수,카라반,반려동물,3,232369.4037,472216.2053,,,
산내956,경상북도 경주시 산내면 대현리 산 480-4,경상북도 경주시 산내면 문복로 956,38187,산,캠핑,가족,16,385960.8194,247803.7923,,,
동두천 자연휴양림,경기도 동두천시 탑동동 산 16 동두천 자연휴양림,"경기도 동두천시 탑동가산로 1, 동두천 자연휴양림 (탑동동)",11322,바다,이지캠핑,키즈,3,212308.3836,487458.6552,,,
축령산 오션파크,경기도 가평군 상면 행현리 910,경기도 가평군 상면 축령로 296,12448,호수,카라반,반려동물,3,230147.9786,474650.5301,,,
원주웰빙캠프,강원도 원주시 신림면 황둔리 1547,강원도 원주시 신림면 신림황둔로 714-2,26508,산,캠핑,가족,4,301198.4785,417034.8397,,,
몽골캠핑장,강원도 홍천군 내면 율전리 728,강원도 홍천군 내면 밤바치길 737,25169,바다,이지캠핑,키즈,4,318715.6776,478072.4962,,,
몽산포힐링캠핑장,충청남도 태안군 남면 신장리 산 113-46,충청남도 태안군 남면 몽산포길 63-13,32153,호수,카라반,반려동물,7,136469.3379,352407.2043,,,
도명산캠핑장,충청북도 괴산군 청천면 고성리 73,충청북도 괴산군 청천면 고성4길 4-2,28061,산,캠핑,가족,8,270061.2677,351250.6518,,,
연천리버힐캠핑장,경기도 연천군 미산면 마전리 237-2,경기도 연천군 미산면 숭의전로 520-21,11047,강,글램핑,연인,3,198454.1568,502502.1189,,,
양주 패밀리 캠핑장,경기도 양주시 삼숭동 542-1,경기도 양주시 부흥로 2191-46 (삼숭동),11477,바다,이지캠핑,키즈,3,208358.7706,478499.4445,,,
산들래 야영장,경기도 화성시 비봉면 자안리 147-4,경기도 화성시 비봉면 자청로207번길 21-71,18293,호수,카라반,반려동물,3,190453.5481,412061.8034,,,
글램비글램핑,경기도 화성시 서신면 제부리 20-15 일대,경기도 화성시 서신면 해안길 64,18553,강,글램핑,연인,3,166965.7278,407664.7368,,,
백미리 희망캠핑장,경기도 화성시 서신면 백미리 266-8,경기도 화성시 서신면 백미길 210-24,18556,바다,이지캠핑,키즈,3,171758.8463,405090.8194,,,
산내들 야영장,경기도 화성시 비봉면 청요리 692,경기도 화성시 비봉면 자청로207번길 21-60,18293,호수,카라반,반려동물,3,190558.1501,411971.3437,,,
풀내음캠핑장,경기도 화성시 봉담읍 상기리 449,경기도 화성시 봉담읍 도곡1길 20-21,18333,산,캠핑,가족,3,192850.8024,410910.3384,,,
엘리캠핑장,경기도 화성시 비봉면 양노리 373,경기도 화성시 비봉면 미륵골로 108-17,18284,강,글램핑,연인,3,188376.2184,413850.2663,,,
사강스마트팜캠핑장,경기도 화성시 송산면 사강리 337-1,경기도 화성시 송산면 송산포도로 194,18551,바다,이지캠핑,키즈,3,175751.7278,412800.684,,,
운악산 글램핑,경기도 포천시 화현면 화현리 728,경기도 포천시 화현면 화동로432번길 92-131,11123,산,캠핑,가족,3,227307.618,488748.1902,,,
자작도캠핑장,강원도 고성군 죽왕면 문암진리 466-1,강원도 고성군 죽왕면 삼포해변길 94,24752,바다,이지캠핑,키즈,4,334506.5987,535435.0372,,,
캠핑느루,강원도 고성군 토성면 원암리 415,강원도 고성군 토성면 미시령폭포길 64,24768,호수,카라반,반려동물,4,329729.2615,523932.9224,,,
변산해수욕장 야영장,전라북도 부안군 변산면 대항리 603,전라북도 부안군 변산면 변산로 2100,56342,산,캠핑,가족,9,157398.5059,242268.8161,,,
가온오토캠핑장,경상북도 포항시 북구 죽장면 일광리 398-2,경상북도 포항시 북구 죽장면 새마을로 3351,37508,강,글램핑,연인,16,386922.0079,296112.1452,,,
월성자연캠핑야영장,경상남도 거창군 북상면 월성리 1730,경상남도 거창군 북상면 덕유월성로 1170-19,50100,호수,카라반,반려동물,17,264997.0911,252346.8125,,,
산내들캠프,경상북도 경주시 산내면 대현리 87-1,경상북도 경주시 산내면 대현길 405,38187,산,캠핑,가족,16,387991.414,246412.9055,,,
불영계곡캠핑장,경상북도 울진군 울진읍 대흥리 75 불영계곡캠핑장,"경상북도 울진군 울진읍 불영계곡로 2758, 불영계곡캠핑장",36330,강,글램핑,연인,16,406587.0671,387450.9783,,,
박달재초록꿈캠핑체험장,충청북도 제천시 백운면 덕동리 30-2,"충청북도 제천시 백운면 구학산로 690, 박달재초록꿈캠핑체험장",27100,바다,이지캠핑,키즈,8,288102.8479,409874.3426,,,
하늘아래 야영장,대구광역시 수성구 범물동 1161 외 7필지,대구광역시 수성구 진밭길 420 (범물동),42240,산,캠핑,가족,12,351259.2606,256653.1248,,,
공현진2리해변야영장,강원도 고성군 죽왕면 공현진리 431-12 공현진2리해변관리사무소,"강원도 고성군 죽왕면 공현진해변길 108, 공현진2리해변관리사무소",24745,바다,이지캠핑,키즈,4,331864.6634,540417.0164,,,
가진리해변야영장,강원도 고성군 죽왕면 가진리 산 1-10,강원도 고성군 죽왕면 가진해변길 138,24744,호수,카라반,반려동물,4,331752.2271,541516.1505,,,
자작도해변야영장,강원도 고성군 죽왕면 문암진리 460-9 자작도관리실,"강원도 고성군 죽왕면 자작도선사길 105-1, 자작도관리실",24752,호수,카라반,반려동물,4,334828.5606,535029.9264,,,
백도해변야영장,강원도 고성군 죽왕면 문암진리 19-3,강원도 고성군 죽왕면 문암항길 133,24752,산,캠핑,가족,4,335167.1548,534170.2028,,,
그린애캠핑장,강원도 원주시 호저면 산현리 513-8,강원도 원주시 호저면 칠봉로 604-5,26300,강,글램핑,연인,4,278935.147,438001.5827,,,
경주 캠핑573,경상북도 경주시 현곡면 래태리 573-1,경상북도 경주시 현곡면 새안현로 507-19,38045,호수,카라반,반려동물,16,393931.7932,270536.5627,,,
솔내음 캠핑장,경기도 수원시 권선구 금곡동 787-2,경기도 수원시 권선구 칠보로 2 (금곡동),16381,산,캠핑,가족,3,194491.763,418351.2318,,,
라라캠핑장,경상북도 경주시 양남면 신대리 460,경상북도 경주시 양남면 서왕길 381-14,38221,강,글램핑,연인,16,416880.0997,245745.6119,,,
태그하우스,인천광역시 강화군 길상면 동검리 262,인천광역시 강화군 길상면 동검길154번길 24-19,23053,산,캠핑,가족,2,156419.2694,454581.9779,,,
알로프랑스,전라북도 무주군 무풍면 삼거리 353-1,전라북도 무주군 무풍면 구천동로 559-12,55563,바다,이지캠핑,키즈,9,273170.9063,267121.5098,,,
야한 캠핑장,경기도 이천시 마장면 이평리 6,경기도 이천시 마장면 이섭대천로155번길 100,17385,호수,카라반,반려동물,3,234632.6412,413222.4088,,,
파크킹,경상북도 김천시 어모면 중왕리 472-23,경상북도 김천시 어모면 은림로 62-11,39504,산,캠핑,가족,16,301282.0451,298281.0518,,,
영흥도어울림캠핑장,인천광역시 옹진군 영흥면 내리 1327-93,"인천광역시 옹진군 영흥면 영흥서로 452-67, 외 10필지",23117,바다,이지캠핑,키즈,2,151606.7034,420256.1633,,,
홍천 반딧불캠핑장,강원도 홍천군 화촌면 구성포리 1583-4,강원도 홍천군 화촌면 도심리길 181,25156,호수,카라반,반려동물,4,278840.1844,476388.2288,,,
한별 도그파크,경상남도 함안군 법수면 대송리 10-2,경상남도 함안군 법수면 이묵골로 135,52056,산,캠핑,가족,17,323205.8219,204965.141,,,
남해금산오토캠핑장,경상남도 남해군 상주면 상주리 845,경상남도 남해군 상주면 남해대로796번길 54,52440,바다,이지캠핑,키즈,17,290037.5638,137853.9367,,,
백담한계캠핑장,강원도 인제군 북면 한계리 1105-8,강원도 인제군 북면 고원통로 107,24607,호수,카라반,반려동물,4,310164.3227,517019.4877,,,
에코팜 부설 오토캠핑장,경상북도 포항시 북구 죽장면 합덕리 276,경상북도 포항시 북구 죽장면 합석길 7,37504,산,캠핑,가족,16,388441.6612,302245.5514,,,
또바기 스파글램핑,경기도 가평군 북면 목동리 592-1,경기도 가평군 북면 멱골로 205-10,12403,바다,이지캠핑,키즈,3,250336.5717,489714.9762,,,
바다야영장,전라북도 부안군 진서면 곰소리 767,전라북도 부안군 진서면 곰소항길 22-25,56346,산,캠핑,가족,9,163896.502,232212.1361,,,
봉즈살롱,강원도 횡성군 서원면 석화리 530,강원도 횡성군 서원면 서원서로102번길 3-18,25202,강,글램핑,연인,4,272935.9813,442367.4178,,,
뇌운계곡글램핑,강원도 평창군 평창읍 뇌운리 5-1,강원도 평창군 평창읍 뇌운계곡로 659-6,25368,바다,이지캠핑,키즈,4,322264.8294,435744.7776,,,
별난독서문화체험장,경기도 파주시 법원읍 금곡리 336-5,경기도 파주시 법원읍 술이홀로 1315,10806,호수,카라반,반려동물,3,189183.8278,486895.5375,,,
충주 비내캠프 체험학습장,충청북도 충주시 앙성면 목미리 89-2 강천초등학교,"충청북도 충주시 앙성면 학교말2길 50, 강천초등학교",27300,산,캠핑,가족,8,266741.4175,407012.7147,,,
힐사이드 IN 가평,경기도 가평군 북면 화악리 209-8,경기도 가평군 북면 화악지암길 360,12402,호수,카라반,반려동물,3,251021.2614,494754.6401,,,
성요셉치유마을 야영장,"경상북도 문경시 가은읍 갈전리 605-3 납청유기마을,방자유기촌","경상북도 문경시 가은읍 은성로 796-13, 납청유기마을,방자유기촌",36997,강,글램핑,연인,16,294946.1664,348578.4552,,,
FLOW 11 야영장,경상남도 창녕군 길곡면 오호리 724,경상남도 창녕군 길곡면 내외동길 11,50362,바다,이지캠핑,키즈,17,339743.1846,212173.0001,,,
에프앤에프캠핑,충청북도 제천시 봉양읍 명암리 243,충청북도 제천시 봉양읍 명암로 635,27108,호수,카라반,반려동물,8,301854.4592,410933.7069,,,
우니메이카 태안점,충청남도 태안군 소원면 신덕리 산 32-1,충청남도 태안군 소원면 산간이길 158-24,32120,산,캠핑,가족,7,127591.5665,364504.0316,,,
메이플,"경기도 포천시 이동면 장암리 636-11 ,636-17",경기도 포천시 이동면 화동로 2236-25,11111,강,글램핑,연인,3,232829.1637,504639.3575,,,
파인밸리펜션 글램핑 2호점,"경기도 포천시 화현면 명덕리 261-1 ,284-1",경기도 포천시 화현면 봉화로 382-1,11125,호수,카라반,반려동물,3,224408.9812,486722.9499,,,
숲이야기,강원도 춘천시 남산면 백양리 166,강원도 춘천시 남산면 서백길 691-77,24464,산,캠핑,가족,4,251758.1404,477666.4703,,,
JB캠핑하우스,경기도 파주시 적성면 구읍리 556,경기도 파주시 적성면 감악산로 1270-74,10802,강,글램핑,연인,3,193498.4451,495514.6197,,,
두미리관광농원,강원도 홍천군 서면 두미리 산 204,강원도 홍천군 서면 개야로 304-229,25101,바다,이지캠핑,키즈,4,256732.0249,464044.1872,,,
가평청춘글램핑&카라반,경기도 가평군 가평읍 산유리 99-3,경기도 가평군 가평읍 호반로 1700,12429,산,캠핑,가족,3,245103.6932,471708.5286,,,
밤벌캠핑장,경기도 가평군 설악면 가일리 201-2,경기도 가평군 설악면 어비산길 15-23,12473,강,글램핑,연인,3,243622.6311,455518.8505,,,
가리벨리캠핑장,강원도 인제군 인제읍 가리산리 334-1,강원도 인제군 인제읍 대목리길 137,24643,바다,이지캠핑,키즈,4,317380.8167,508699.2513,,,
에이미캠핑장,강원도 영월군 김삿갓면 진별리 592-3 아프리카미술박물관,"강원도 영월군 김삿갓면 영월동로 1107-1, 아프리카미술박물관",26245,호수,카라반,반려동물,4,336350.3329,404441.8018,,,
단아한,전라북도 순창군 팔덕면 산동리 345-1,전라북도 순창군 팔덕면 산동신흥길 6,56021,산,캠핑,가족,9,208319.6797,209986.8591,,,
숲속의아침,강원도 영월군 무릉도원면 법흥리 538,강원도 영월군 무릉도원면 무릉법흥로 1115,26201,강,글램핑,연인,4,313139.8574,429002.8888,,,
땡땡이글램핑,전라남도 장흥군 대덕읍 연지리 202-1,전라남도 장흥군 대덕읍 신흥1길 5-55,59352,바다,이지캠핑,키즈,11,191700.0377,111881.5409,,,
예손캠핑장,경상북도 고령군 덕곡면 가륜리 257,경상북도 고령군 덕곡면 가륜장길 20-7,40126,강,글램핑,연인,16,309570.0302,255380.729,,,
아리아리 숲속의 야영장,강원도 영월군 주천면 신일리 1605-5,강원도 영월군 주천면 솔치로 240-70,26205,호수,카라반,반려동물,4,307509.0695,418649.7635,,,
우니메이카 단양점,충청북도 단양군 가곡면 어의곡리 95-2,충청북도 단양군 가곡면 새밭로 820,27023,강,글램핑,연인,8,329671.8725,388416.7231,,,
더오창호,충청북도 청주시 청원구 오창읍 성산리 620-1,충청북도 청주시 청원구 오창읍 화복로 780-106,28107,바다,이지캠핑,키즈,8,237009.2288,361230.1389,,,
월악파머스캠핑장,충청북도 제천시 덕산면 월악리 597,충청북도 제천시 덕산면 월악산로 450-5,27225,산,캠핑,가족,8,301427.374,377417.403,,,
호미곶유니의바다 카라반캠핑장,경상북도 포항시 남구 호미곶면 강사리 772-3,경상북도 포항시 남구 호미곶면 해맞이로46번길 134,37929,강,글램핑,연인,16,431973.4549,287332.341,,,
림스 글램핑,전라남도 강진군 강진읍 임천리 667,전라남도 강진군 강진읍 해강로 1038-30,59247,바다,이지캠핑,키즈,11,175792.8531,122816.4528,,,
캠핑679,경기도 가평군 북면 목동리 679-3,경기도 가평군 북면 화악산로 162-21,12403,호수,카라반,반려동물,3,249284.8439,488367.6256,,,
다시캠핑장,경상북도 고령군 덕곡면 노리 307-1,경상북도 고령군 덕곡면 덕운로 1043-64,40126,산,캠핑,가족,16,307922.1225,255986.9176,,,
비토애글램핑2호점(BITOLUV GLAMPING Season2),경상남도 사천시 서포면 비토리 205-2,경상남도 사천시 서포면 토끼로 217,52545,바다,이지캠핑,키즈,17,287989.7877,165199.2347,,,
둥지캠핑장,충청북도 보은군 내북면 화전리 355-7 주택,충청북도 보은군 내북면 회인내북로 874,28906,호수,카라반,반려동물,8,258034.9346,340791.8069,,,
담터오지글램핑,강원도 철원군 동송읍 상노리 859-10,강원도 철원군 동송읍 담터길 350,24026,산,캠핑,가족,4,216573.2667,517673.2935,,,
아이프로방스,충청북도 청주시 상당구 미원면 운암리 229-3,충청북도 청주시 상당구 미원면 남부로 6774,28200,바다,이지캠핑,키즈,8,260693.7254,345998.5948,,,
이천 인휴 글램핑,경기도 이천시 모가면 진가리 581,경기도 이천시 모가면 진상미로1385번길 221-6,17408,호수,카라반,반려동물,3,241674.0126,407896.7847,,,
천지 글램핑,전라남도 순천시 상사면 비촌리 438-10,전라남도 순천시 상사면 선동길 112,57920,산,캠핑,가족,11,239541.1783,156031.7544,,,
웰니스 권역 야영장,충청남도 공주시 우성면 내산리 446-5,충청남도 공주시 우성면 무성산로 296,32527,강,글램핑,연인,7,207890.8825,333303.9398,,,
주문진해수욕장 일반야영장,강원도 강릉시 주문진읍 향호리 8-17,강원도 강릉시 주문진읍 주문북로 210,25404,바다,이지캠핑,키즈,4,359802.8143,491283.3865,,,
옥계해수욕장 야영장,강원도 강릉시 옥계면 금진리 799-16,강원도 강릉시 옥계면 금진솔밭길 104-29,25633,산,캠핑,가족,4,380697.8004,460309.0085,,,
반려동물힐링센터 글램핑,경상북도 문경시 문경읍 진안리 350-4,경상북도 문경시 문경읍 문경대로 2430,36919,바다,이지캠핑,키즈,16,296570.1382,360655.5763,,,
사천 케이블카 자연휴양림,경상남도 사천시 실안동 산 173,경상남도 사천시 실안길 242-45 (실안동),52554,산,캠핑,가족,17,296585.5402,161770.0001,,,
느티담길 캠핑장,경상북도 군위군 산성면 운산리 676 야영장,"경상북도 군위군 산성면 부흥로 362-33, 야영장",39059,강,글램핑,연인,16,352151.6264,292134.0635,,,
노마드글램핑,경기도 가평군 상면 원흥리 229-1,경기도 가평군 상면 원흥길 46-12,12442,바다,이지캠핑,키즈,3,228630.0803,479621.4154,,,
대룡산 오토캠핑장,강원도 홍천군 북방면 북방리 942,강원도 홍천군 북방면 성동로 1612,25113,산,캠핑,가족,4,273631.7418,480748.8586,,,
배론의아침,충청북도 제천시 봉양읍 구학리 448,충청북도 제천시 봉양읍 배론성지길 167-52,27110,강,글램핑,연인,8,297447.6213,406266.0717,,,
구화산BBQ,경상북도 김천시 교동 253,경상북도 김천시 구화산길 64-7 (교동),39522,바다,이지캠핑,키즈,16,299187.6677,294572.4403,,,
노문 야영장,경기도 양평군 서종면 노문리 418-1,경기도 양평군 서종면 갈문길 22-17,12500,호수,카라반,반려동물,3,238192.0135,460507.9726,,,
신두57캠핑장B구역,충청남도 태안군 원북면 신두리 1221-57,충청남도 태안군 원북면 신두해변길 201-31,32108,강,글램핑,연인,7,127849.857,371469.9608,,,
부엉캠핑클럽,전라북도 완주군 운주면 산북리 22,전라북도 완주군 운주면 산북신복길 125-72,55300,바다,이지캠핑,키즈,9,231815.4654,287377.637,,,
약수동산,경기도 양평군 옥천면 옥천리 936,경기도 양평군 옥천면 약수동산길 85,12507,호수,카라반,반려동물,3,240177.7541,445151.0324,,,
소풍,경상북도 경주시 천북면 화산리 145-1 경주학생예술체험관,"경상북도 경주시 천북면 새터흥림길 1-27, 경주학생예술체험관",38034,강,글램핑,연인,16,406619.1848,271579.5904,,,
보라보라카라반 캠핑장,경상북도 포항시 북구 청하면 용두리 104-20,경상북도 포항시 북구 청하면 해안로 2264,37517,바다,이지캠핑,키즈,16,413342.309,302014.0066,,,
봉황자연휴양림 숲속야영장,충청북도 충주시 중앙탑면 봉황리 산 17-1 봉황자연휴양림,"충청북도 충주시 중앙탑면 수룡봉황길 540, 봉황자연휴양림",27446,호수,카라반,반려동물,8,273417.1098,394982.5763,,,
발자크펜션캠핑장,충청북도 제천시 백운면 덕동리 87-4,충청북도 제천시 백운면 덕동로 207-3,27101,산,캠핑,가족,8,286762.4623,411560.5454,,,
해피니스 캠핑장,경기도 양주시 장흥면 석현리 303-2,경기도 양주시 장흥면 권율로309번길 317-196,11519,강,글램핑,연인,3,194412.87,471890.4446,,,
저스트글램핑,전라북도 임실군 강진면 방현리 353,전라북도 임실군 강진면 이윤길 76,55937,바다,이지캠핑,키즈,9,213272.171,229357.1186,,,
밀양 가보자 캠핑장,경상남도 밀양시 단장면 법흥리 326-6,경상남도 밀양시 단장면 단장로 905,50416,호수,카라반,반려동물,17,368365.3015,220880.2037,,,
캠프오슬로,강원도 삼척시 원덕읍 갈남리 산 87-4,강원도 삼척시 원덕읍 삼척로 1698,25956,산,캠핑,가족,4,406273.6669,420569.4532,,,
휴가든 카라반,강원도 영월군 영월읍 연하리 408-8,강원도 영월군 영월읍 복덕원길 45,26230,강,글램핑,연인,4,338124.8032,411189.6222,,,
연천미라클타운,경기도 연천군 군남면 옥계리 1259,경기도 연천군 군남면 군중로 134,11005,바다,이지캠핑,키즈,3,203920.1647,514243.357,,,
스타빌,제주특별자치도 서귀포시 안덕면 광평리 산 31-1,제주특별자치도 서귀포시 안덕면 광평로 34-154,63524,산,캠핑,가족,18,143591.3226,-17298.14004,,,
더설렘,"경기도 포천시 일동면 수입리 202 ,200-3,200-4",경기도 포천시 일동면 윗갈기1길 60,11115,강,글램핑,연인,3,227978.3019,496015.3648,,,
승암159캠핑장,충청북도 괴산군 청천면 고성리 159,충청북도 괴산군 청천면 후평도원로 484,28061,바다,이지캠핑,키즈,8,269973.3779,351499.4957,,,
탄금호 야영장,충청북도 충주시 금가면 오석리 515-3,충청북도 충주시 금가면 오미기2길 62-1,27445,호수,카라반,반려동물,8,278287.7039,389275.4934,,,
MOONWALK 카라반캠핑장,경상남도 합천군 대병면 회양리 893-8,경상남도 합천군 대병면 신성동1길 19,50216,산,캠핑,가족,17,292067.432,225070.7307,,,
고창군 선운산 국민여가캠핑장,전라북도 고창군 아산면 삼인리 347,전라북도 고창군 아산면 선운사로 158-62,56452,강,글램핑,연인,9,162072.5828,222613.5512,,,
양평숲 비룡캠프장,경기도 양평군 청운면 가현리 385-2,경기도 양평군 청운면 목내미길 83-215,12530,호수,카라반,반려동물,3,263002.3427,447015.7602,,,
섬진강권역 거북이야영 캠핑장,전라북도 순창군 동계면 구미리 743-1,전라북도 순창군 동계면 장군목길 352,56026,산,캠핑,가족,9,218689.6514,216372.3307,,,
에코밸리 캠핑장,경상북도 경주시 산내면 대현리 2394,경상북도 경주시 산내면 문복로 506-16,38187,바다,이지캠핑,키즈,16,385621.5573,244092.782,,,
계곡 좋은 펜션 야영장,경상남도 하동군 청암면 묵계리 1376,경상남도 하동군 청암면 아래몰길 24-10,52309,산,캠핑,가족,17,265442.6346,193175.1193,,,
청평사 국민여가 캠핑장,강원도 춘천시 북산면 청평리 668-11,강원도 춘천시 북산면 오봉산길 630,24208,강,글램핑,연인,4,271780.8387,498114.0194,,,
대둔산캠핑펜션오토캠핑장,전라북도 완주군 운주면 산북리 417-6,전라북도 완주군 운주면 대둔산로 2100-25,55300,바다,이지캠핑,키즈,9,230361.0749,289793.8117,,,
산으로 간 낚시꾼 캠핑장,경상남도 사천시 실안동 962,경상남도 사천시 해안관광로 68-20 (실안동),52554,호수,카라반,반려동물,17,295061.5763,161520.9598,,,
거북선마을 캠핑장,경상남도 사천시 용현면 주문리 733,경상남도 사천시 용현면 사천대교로 75-61,52540,산,캠핑,가족,17,294922.5784,167129.0537,,,
몽산포감성캠핑장,충청남도 태안군 남면 신장리 355-61,충청남도 태안군 남면 몽산포길 65-5,32153,강,글램핑,연인,7,136372.0073,352478.374,,,
꽃길글램핑,경상남도 산청군 금서면 지막리 915,경상남도 산청군 금서면 왕등재로 160,52230,바다,이지캠핑,키즈,17,274763.919,211162.9094,,,
네잎클로버 캠핑장,경기도 가평군 설악면 설곡리 777,경기도 가평군 설악면 장수로 156-20,12471,호수,카라반,반려동물,3,244910.498,457342.5479,,,
달무리 캠핑장,경기도 가평군 조종면 마일리 319,경기도 가평군 조종면 연인산로 595-1,12433,산,캠핑,가족,3,233767.4917,483723.3638,,,
범바위캠핑정원,경기도 김포시 대곶면 율생리 184-1,경기도 김포시 대곶면 종생로 154,10044,강,글램핑,연인,3,164679.0248,460074.787,,,
운악산진우네캠핑장,경기도 포천시 화현면 화현리 1131-6,경기도 포천시 화현면 화동로 218-18,11123,바다,이지캠핑,키즈,3,226657.1006,487236.3124,,,
낭추골캠핑장,충청북도 청주시 상당구 낭성면 추정리 186,충청북도 청주시 상당구 낭성면 단재로 1890,28194,산,캠핑,가족,8,255249.5572,344282.1361,,,
WAVE 글램핑,경상북도 포항시 남구 구룡포읍 석병리 19-2,경상북도 포항시 남구 구룡포읍 일출로 465,37930,강,글램핑,연인,16,432294.0145,284285.9685,,,
프로미스,경기도 포천시 이동면 장암리 716-153,경기도 포천시 이동면 여우고개로242번길 21-27,11111,산,캠핑,가족,3,230477.2501,505448.1792,,,
섬진강별빛야영장,전라남도 광양시 진월면 오사리 135-193,전라남도 광양시 진월면 사평1길 23,57711,강,글램핑,연인,11,271254.3539,168389.5856,,,
편안캠핑장,경상북도 경주시 산내면 외칠리 3,경상북도 경주시 산내면 단석로 655-10,38184,바다,이지캠핑,키즈,16,384509.5738,252862.1308,,,
연종 캠핑장,충청남도 공주시 유구읍 연종리 130-1,충청남도 공주시 유구읍 구계연종길 473,32501,산,캠핑,가족,7,200157.757,344350.2278,,,
블루아라한시캠핑장,전라북도 고창군 상하면 자룡리 529-27,전라북도 고창군 상하면 진암구시포로 539-14,56408,강,글램핑,연인,9,148698.5312,216237.4272,,,
살롱드 캠핑,경기도 양평군 양동면 쌍학리 357 양동초등학교,"경기도 양평군 양동면 활거리길 16-19, 양동초등학교",12539,바다,이지캠핑,키즈,3,266172.3219,434227.4905,,,
엣더몬,경기도 가평군 상면 원흥리 515-2,경기도 가평군 상면 원흥길 52-127,12442,호수,카라반,반려동물,3,228316.2808,479786.9209,,,
노마드 캠프,경기도 남양주시 일패동 산 61-17,경기도 남양주시 경춘로611번길 11-44 (일패동),12243,산,캠핑,가족,3,215503.6294,457308.3569,,,
서리실 힐링 가족캠핑장,충청남도 천안시 동남구 광덕면 지장리 11-1,충청남도 천안시 동남구 광덕면 서리실길 147,31219,강,글램핑,연인,7,207753.2018,352128.0775,,,
가산산성마을 캠핑장,경상북도 칠곡군 가산면 가산리 635-1 칠곡학생야영장,"경상북도 칠곡군 가산면 가산로 891, 칠곡학생야영장",39853,바다,이지캠핑,키즈,16,343892.9407,284465.1032,,,
어썸비치,강원도 삼척시 근덕면 초곡리 287-1,강원도 삼척시 근덕면 초곡길 380,25937,호수,카라반,반려동물,4,402728.9026,425503.879,,,
우니메이카(연천점),경기도 연천군 중면 합수리 93,경기도 연천군 중면 합내로 458,11004,산,캠핑,가족,3,205413.5237,517003.6609,,,
하늘땅카라반,전라북도 무주군 설천면 삼공리 819-5,전라북도 무주군 설천면 구천동로 966-12,55557,강,글램핑,연인,9,269488.5062,267725.399,,,
가반나야영장,경상남도 남해군 창선면 서대리 489-2,경상남도 남해군 창선면 서부로 892-9,52451,바다,이지캠핑,키즈,17,289930.989,154487.3671,,,
소똥령 마을관리휴양지 야영장,강원도 고성군 간성읍 장신리 513,강원도 고성군 간성읍 소똥령마을길 32,24741,산,캠핑,가족,4,320452.6618,537276.6888,,,
젤코바 캠핑장,경기도 용인시 처인구 양지면 주북리 170-8,경기도 용인시 처인구 양지면 송주로236번길 82-19,17159,강,글램핑,연인,3,223191.4173,414847.0091,,,
보성 지중해 야영장,전라남도 보성군 회천면 서당리 35-1,전라남도 보성군 회천면 공룡로 206-42,59468,바다,이지캠핑,키즈,11,213101.0147,132781.9793,,,
월든캠프,강원도 양양군 손양면 송전리 36-5,강원도 양양군 손양면 송평길 28,25041,호수,카라반,반려동물,4,345067.152,511041.3534,,,
낭도야영장,전라남도 여수시 화정면 낭도리 573,전라남도 여수시 화정면 여산길 150,59781,산,캠핑,가족,11,249587.7454,122556.6539,,,
오색허브농원 캠핑장,강원도 양양군 서면 가라피리 9,강원도 양양군 서면 송어길 38,25033,강,글램핑,연인,4,334945.2874,508612.7377,,,
파머스글램핑,전라북도 고창군 상하면 자룡리 산 1-2 농원사무소,"전라북도 고창군 상하면 상하농원길 11-23, 농원사무소",56408,호수,카라반,반려동물,9,150008.6564,216502.7147,,,
금강뷰,충청남도 금산군 제원면 천내리 695,충청남도 금산군 제원면 낙안길 107-13,32720,산,캠핑,가족,7,252203.0814,290637.9852,,,
은하수야영캠핑장,충청남도 태안군 소원면 모항리 770-11,충청남도 태안군 소원면 연들길 22,32123,강,글램핑,연인,7,123018.1482,361599.6037,,,
진동리국민여가캠핑장 by zapza,강원도 춘천시 동면 장학리 1007-6,"강원도 춘천시 동면 춘천순환로 609, 7층",24209,바다,이지캠핑,키즈,4,266398.2621,488106.2612,,,
부재산방 야영장,경상남도 창원시 마산합포구 진전면 평암리 254,경상남도 창원시 마산합포구 진전면 미천2길 148 (부재산방),51795,호수,카라반,반려동물,17,328141.1645,184545.1088,,,
영학관광농원 야영장,경상남도 창원시 마산합포구 진북면 영학리 555 외1필지,경상남도 창원시 마산합포구 진북면 학동로 537-280 (외1필지),51786,산,캠핑,가족,17,330533.3112,184832.7064,,,
