사업장명,소재지전체주소,도로명전체주소,도로명우편번호,자연환경,숙소환경,테마,지역코드,좌표정보(x),좌표정보(y),COL1,COL2,COL3
오션파크,충청남도 태안군 남면 몽산리 782-13번지,충청남도 태안군 남면 몽산포길 161,32152,바다,이지캠핑,키즈,7,135572.6371,352909.6674,,,
펜션벨뷰캠핑장,강원도 평창군 봉평면 흥정리 82번지,강원도 평창군 봉평면 흥정계곡4길 249-2,25300,호수,카라반,반려동물,4,315297.7383,463040.8072,,,
숲과개울펜션야영장,강원도 평창군 방림면 방림리 1775-2번지,강원도 평창군 방림면 고원로 1505-8,25365,산,캠핑,가족,4,320170.8289,438574.5783,,,
리프레쉬캠핑장,강원도 평창군 봉평면 흥정리 360-2,강원도 평창군 봉평면 흥정계곡4길 7-25,25300,강,글램핑,연인,4,316414.4957,461686.1267,,,
천하마을야영장,경상남도 남해군 미조면 송정리 1378번지,경상남도 남해군 미조면 남해대로397번길 18 (천하리경로당),52441,바다,이지캠핑,키즈,17,292759.5554,136675.1698,,,
힐링아일랜드 글램핑,경상남도 남해군 삼동면 지족리 1149-2번지 힐링아일랜드 글램핑,"경상남도 남해군 삼동면 죽방로 169, 힐링아일랜드 글램핑",52444,호수,카라반,반려동물,17,290245.5937,148264.2524,,,
남해 더왕 글램핑장,경상남도 남해군 설천면 진목리 1190-1번지,경상남도 남해군 설천면 설천로 224-79,52402,산,캠핑,가족,17,283036.3593,154364.1332,,,
버드하우스 캠핑장,경상남도 남해군 창선면 대벽리 277 북창선초등학교,"경상남도 남해군 창선면 서부로 1455-10, 북창선초등학교",52449,강,글램핑,연인,17,293183.7733,158231.6298,,,
완주에코오토캠핑장,전라북도 완주군 동상면 대아리 279,전라북도 완주군 동상면 대아수목로 144-1,55344,호수,카라반,반려동물,9,227295.5167,275619.2925,,,
농업회사법인에덴동산캠핑장,전라북도 완주군 경천면 경천리 397-8,전라북도 완주군 경천면 오복대석길 102-13,55302,산,캠핑,가족,9,222796.7325,279211.8761,,,
다람쥐쉼터야영장,전라북도 완주군 운주면 고당리 491,전라북도 완주군 운주면 금고당로 1014,55301,강,글램핑,연인,9,231347.3025,281028.2531,,,
힐링캠핑장,전라북도 완주군 동상면 신월리 223-1,전라북도 완주군 동상면 동상주천로 160-27,55345,바다,이지캠핑,키즈,9,227568.1257,273306.735,,,
예원캠핑장,전라북도 완주군 동상면 수만리 741-1,전라북도 완주군 동상면 송광수만로 1079-125,55344,호수,카라반,반려동물,9,223215.7898,269614.6652,,,
선야봉캠핑장,전라북도 완주군 운주면 고당리 230,전라북도 완주군 운주면 금고당로 727,55301,산,캠핑,가족,9,230863.2227,283599.4826,,,
완주소양캠핑장,전라북도 완주군 소양면 해월리 895,전라북도 완주군 소양면 해월신왕길 144-39,55347,강,글램핑,연인,9,224374.5291,262577.6978,,,
호연재,전라북도 완주군 소양면 대흥리 478,전라북도 완주군 소양면 송광수만로 373-8,55348,바다,이지캠핑,키즈,9,221725.4341,266011.6677,,,
로뎀하우스,전라북도 완주군 운주면 고당리 524,전라북도 완주군 운주면 금고당로 1070-14,55301,호수,카라반,반려동물,9,231535.7085,280610.7413,,,
비채야영장,전라북도 완주군 동상면 사봉리 921,전라북도 완주군 동상면 동상로 1260-13,55345,산,캠핑,가족,9,227553.4911,269527.1617,,,
갯골캠핑장,경기도 시흥시 월곶동 520-240,경기도 시흥시 동서로 137-71 (월곶동),14970,강,글램핑,연인,3,178858.2625,431946.7491,,,
작은쉼터야영장,경기도 시흥시 죽율동 620번지,경기도 시흥시 죽율로 25 (죽율동),15050,호수,카라반,반려동물,3,178574.6889,427517.1457,,,
돌풀마루,전라남도 구례군 산동면 위안리 757-3번지,전라남도 구례군 산동면 산수유꽃길로 117 (돌풀마루),57605,산,캠핑,가족,11,243370.5048,203363.5315,,,
귀한농부학교,경기도 파주시 법원읍 금곡리 422,경기도 파주시 법원읍 술이홀로1333번길 128,10806,바다,이지캠핑,키즈,3,188701.255,486675.7574,,,
은사시 캠핑장,경기도 파주시 적성면 자장리 567-1,경기도 파주시 적성면 자장로 115,10801,호수,카라반,반려동물,3,186275.3156,494879.7449,,,
공릉관광지 캠핑장,경기도 파주시 조리읍 장곡리 420-7,경기도 파주시 조리읍 장곡로 218,10940,산,캠핑,가족,3,185542.5303,471929.5594,,,
밤골 캠핑장,경기도 파주시 파평면 율곡리 69-2,경기도 파주시 파평면 장승배기로268번길 141,10809,강,글램핑,연인,3,184324.0164,487218.3194,,,
비학농원 캠핑장,경기도 파주시 법원읍 직천리 760-4,경기도 파주시 법원읍 만월로613번길 217,10806,바다,이지캠핑,키즈,3,192428.2422,487621.9378,,,
반디 캠프,경기도 파주시 광탄면 기산리 517-2,경기도 파주시 광탄면 기산로 207,10953,호수,카라반,반려동물,3,192967.4838,474730.2214,,,
